0; Bruno Cardoso; azul; 1385471680667
1; Jos� Delgado; laranja; 1385471680667
2; Jos� Carvalho; amarelo; 1385471680667
3; Bruno Costa; laranja; 1385471680667
4; Miguel Carvalho; verde; 1385471680667
5; Miguel Carvalho; laranja; 1385471680667
6; Jos� Neves; vermelho; 1385471680667
7; Jo�o Delgado; verde; 1385471680667
8; Jos� Costa; laranja; 1385471680667
9; Nick Cardoso; vermelho; 2
10; Nick Costa; verde; 1385471680667
11; Jos� Costa; vermelho; 1385471680667
12; Miguel Costa; azul; 1385471680667
13; Bruno Costa; verde; 1385471680667
14; Jos� Delgado; verde; 1385471680667
15; Jo�o Carvalho; verde; 1385471680667
16; Bruno Costa; vermelho; 1385471680667
17; Bruno Carvalho; amarelo; 1385471680667
18; Jo�o Costa; verde; 1385471680667
19; Jos� Delgado; amarelo; 1385471680667
20; Bruno Costa; azul; 1385471680667
21; Ricardo Delgado; azul; 1385471680667
22; Jos� Neves; amarelo; 1385471680667
23; Ricardo Neves; amarelo; 1385471680667
24; Nick Costa; amarelo; 1385471680667
25; Jos� Costa; amarelo; 1385471680667
26; Jos� Neves; azul; 1385471680667
27; Nick Carvalho; laranja; 1385471680667
28; Nick Delgado; amarelo; 1385471680667
29; Nick Delgado; verde; 1385471680667
30; Bruno Neves; vermelho; 1385471680667
31; Bruno Cardoso; verde; 1385471680667
32; Bruno Cardoso; amarelo; 1385471680667
33; Jos� Cardoso; laranja; 1385471680667
34; Jo�o Costa; azul; 1385471680667
35; Miguel Carvalho; vermelho; 1385471680667
36; Jos� Carvalho; vermelho; 1385471680667
37; Jo�o Delgado; amarelo; 1385471680667
38; Jos� Delgado; vermelho; 1385471680667
39; Bruno Neves; verde; 1385471680667
40; Nick Delgado; verde; 1385471680667
41; Miguel Delgado; laranja; 1385471680667
42; Jos� Delgado; amarelo; 1385471680667
43; Ricardo Neves; azul; 1385471680668
44; Bruno Costa; laranja; 1385471680668
45; Nick Cardoso; laranja; 1385471680668
46; Ricardo Costa; azul; 1385471680668
47; Bruno Costa; laranja; 1385471680668
48; Nick Carvalho; verde; 1385471680668
49; Bruno Delgado; amarelo; 1385471680668
50; Ricardo Carvalho; azul; 1385471680668
51; Ricardo Carvalho; azul; 1385471680668
52; Miguel Carvalho; laranja; 1385471680668
53; Jo�o Carvalho; azul; 1385471680668
54; Jos� Carvalho; amarelo; 1385471680668
55; Bruno Neves; azul; 1385471680668
56; Ricardo Neves; amarelo; 1385471680668
57; Nick Carvalho; verde; 1385471680668
58; Ricardo Cardoso; amarelo; 1385471680668
59; Nick Costa; azul; 1385471680668
60; Bruno Neves; laranja; 1385471680668
61; Bruno Carvalho; amarelo; 1385471680668
62; Jo�o Costa; vermelho; 1385471680668
63; Jo�o Cardoso; azul; 1385471680668
64; Jos� Neves; laranja; 1385471680668
65; Jos� Cardoso; azul; 1385471680668
66; Ricardo Delgado; verde; 1385471680668
67; Bruno Carvalho; amarelo; 1385471680668
68; Jo�o Cardoso; verde; 1385471680668
69; Nick Delgado; vermelho; 1385471680668
70; Bruno Neves; vermelho; 1385471680668
71; Jo�o Neves; verde; 1385471680668
72; Jos� Delgado; azul; 1385471680668
73; Jos� Carvalho; vermelho; 1385471680668
74; Nick Neves; azul; 1385471680668
75; Ricardo Costa; verde; 1385471680668
76; Jo�o Delgado; amarelo; 1385471680668
77; Jos� Carvalho; vermelho; 1385471680668
78; Nick Carvalho; azul; 1385471680668
79; Nick Delgado; laranja; 1385471680668
80; Ricardo Cardoso; vermelho; 1385471680668
81; Nick Neves; amarelo; 1385471680668
82; Jos� Costa; verde; 1385471680668
83; Ricardo Carvalho; vermelho; 1385471680668
84; Ricardo Neves; laranja; 1385471680668
85; Jos� Cardoso; verde; 1385471680668
86; Jos� Neves; vermelho; 1385471680668
87; Ricardo Carvalho; vermelho; 1385471680668
88; Jos� Costa; verde; 1385471680668
89; Nick Costa; amarelo; 1385471680668
90; Jos� Delgado; azul; 1385471680669
91; Bruno Neves; azul; 1385471680669
92; Miguel Costa; laranja; 1385471680669
93; Jo�o Delgado; laranja; 1385471680669
94; Jo�o Neves; verde; 1385471680669
95; Miguel Neves; vermelho; 1385471680669
96; Miguel Neves; amarelo; 1385471680669
97; Ricardo Cardoso; laranja; 1385471680669
98; Ricardo Neves; azul; 1385471680669
99; Ricardo Cardoso; amarelo; 1385471680669
100; Nick Cardoso; laranja; 1385471680669
